0install	github.com/0install/0install
conf-libudev	github.com/systemd/systemd
conf-netsnmp	www.github.com/stevebleazard/ocaml-conf-netsnmp
conf-numa	www.github.com/stevebleazard/ocaml-conf-numa
conformist	github.com/oxidizing/conformist
conf-postgresql	github.com/mmottl/postgresql-ocaml
conf-protoc	github.com/protocolbuffers/protobuf
conf-qt	github.com/Kakadu/lablqml
conf-secp256k1	github.com/dakk/conf-secp256k1
conf-sqlite3	github.com/mmottl/sqlite3-ocaml
containers	github.com/c-cube/ocaml-containers
cookie	github.com/ulrikstrid/ocaml-cookie
cookies	github.com/lemaetech/cookies
coq	github.com/coq/coq
coq-of-ocaml	github.com/clarus/coq-of-ocaml
coq-serapi	github.com/ejgallego/coq-serapi
cordova	github.com/dannywillems/ocaml-cordova
cordova-plugin-fcm	github.com/dannywillems/ocaml-cordova-plugin-fcm
cordova-plugin-file	github.com/dannywillems/ocaml-cordova-plugin-file
cordova-plugin-push-notifications	github.com/dannywillems/ocaml-cordova-plugin-push
cordova-plugin-sms	github.com/dannywillems/ocaml-cordova-plugin-sms
core	github.com/janestreet/core
core_bench	github.com/janestreet/core_bench
corecount	github.com/fxfactorial/ocaml-corecount
core_extended	github.com/janestreet/core_extended
core_kernel	github.com/janestreet/core_kernel
core_profiler	github.com/janestreet/core_profiler
cosovo	github.com/barko/cosovo
cow	github.com/mirage/ocaml-cow
cowabloga	github.com/mirage/cowabloga
cpm	github.com/UnixJunkie/cpmlib
cppo	github.com/ocaml-community/cppo
cpu	github.com/UnixJunkie/cpu
cpuid	github.com/pqwy/cpuid
craml	github.com/realworldocaml/craml
crc	github.com/xapi-project/ocaml-crc
crdt-ml	github.com/ergl/crdt-ml
crlibm	github.com/Chris00/ocaml-crlibm
crowbar	github.com/stedolan/crowbar
crunch	github.com/mirage/ocaml-crunch
cry	github.com/savonet/ocaml-cry
cryptohash	github.com/fdopen/cryptohash
csexp	github.com/ocaml-dune/csexp
css-parser	github.com/astrada/ocaml-css-parser
cstruct	github.com/mirage/ocaml-cstruct
csv	github.com/Chris00/ocaml-csv
csvfields	github.com/janestreet/csvfields
csvprovider	github.com/nv-vn/OCamlCsvProvider
ctypes-build	github.com/yallop/ocaml-ctypes-build
ctypes-zarith	github.com/fdopen/ctypes-zarith
cubicle	github.com/cubicle-model-checker/cubicle
cudf	scm.gforge.inria.fr/anonscm/git/cudf/cudf
cumulus	github.com/paurkedal/ocaml-cumulus
curly	github.com/rgrinberg/curly
current	github.com/ocurrent/ocurrent
current_ocluster	github.com/ocurrent/ocluster
curses	github.com/mbacarella/curses
curve-sampling	github.com/Chris00/ocaml-curve-sampling
custom_printf	github.com/janestreet/custom_printf
cviode	github.com/mseri/ocaml-cviode
cwe_checker	github.com/fkie-cad/cwe_checker
d3	github.com/seliopou/ocaml-d3
daft	github.com/UnixJunkie/daft
data-encoding	gitlab.com/nomadic-labs/data-encoding
dataframe	github.com/LaurentMazare/ocaml-dataframe
datakit	github.com/moby/datakit
daypack-lib	github.com/daypack-dev/daypack-lib
dbf	github.com/pveber/dbf
dbm	github.com/ocaml/dbm
dead_code_analyzer	github.com/LexiFi/dead_code_analyzer
debian-formats	github.com/gildor478/ocaml-debian-formats
